,"L1,1","L1,2","L1,3","L1,4","L1,7","L1,14","L1,28","L1,42","L2,1","L2,2","L2,3","L2,4","L2,7","L2,14","L2,28","L2,42","L3,1","L3,2","L3,3","L3,4","L3,7","L3,14","L3,28","L3,42","L4,1","L4,2","L4,3","L4,4","L4,7","L4,14","L4,28","L4,42","L5,1","L5,2","L5,3","L5,4","L5,7","L5,14","L5,28","L5,42","L6,2","L6,3","L6,4","L6,7","L6,14","L6,28","L6,42"
L26664,0.20760065088446802,0.12815572030438616,0.08662232076866222,0.10676264214856036,0.0778623890415897,0.1002010205659502,0.07556245151280062,0.08478667849049168,0.2570621468926554,0.1901167383481085,0.17719597799279074,0.16589788452362014,0.1683317366908444,0.12714285714285714,0.061972510248372324,0.09943714821763602,0.2730214036834246,0.17942868478476492,0.13881787899914788,0.15375619535557164,0.1699559302548381,0.17899185028674916,0.1345964912280702,0.10181488203266788,0.4459437751004016,0.2342973999415717,0.15785218016291327,0.10719013446666202,0.11210877373011802,0.10912040374909876,0.1390425115915312,0.153415061295972,0.29238557154594363,0.17363017786797186,0.11855031784033684,0.13624413145539907,0.1484992101105845,0.14162217137045513,0.13461232287852254,0.10415457334770713,0.12117511851745437,0.13481001260579867,0.1227463413072021,0.12112996800954293,0.1582372629230197,0.14631531624995678,0.1266263514751695
L6,1.267072594614456,1.3629772363565107,1.5113377679231337,1.5318170820227437,1.5547244626684091,1.5809803618370186,1.5003878975950349,1.5186717903241698,1.905450315719508,1.9526024752040727,1.9939290457218743,2.0186098298075392,2.039756397974545,1.9918181818181817,2.0067518688208343,1.9812382739212009,1.925398208063713,1.9255769357931627,1.9921760012394452,2.0350281227376508,2.0968257009644247,2.0866284334440084,2.0242807017543862,1.9284936479128856,1.3768674698795182,1.4665080756228872,1.573850023957834,1.7225318748693652,1.7219453199442938,1.6808579668348955,1.549466510250824,1.5750145942790426,1.2495825713604198,1.4003521547093232,1.503178403368282,1.5750234741784035,1.5778722013400883,1.5448766844647852,1.4761980576341347,1.4307985736794095,1.6338528946990376,1.6641815235008104,1.718448778300829,1.7058504581684109,1.6472046609644229,1.6639001279524157,1.5980392156862746
L2,0.2670725946144559,0.3629772363565107,0.5113377679231338,0.5318170820227438,0.5547244626684089,0.5809803618370187,0.5003878975950349,0.5186717903241699,0.9054503157195082,0.9526024752040728,0.9939290457218743,1.0186098298075394,1.039756397974545,0.9918181818181818,1.0067518688208343,0.9812382739212008,0.9253982080637132,0.9255769357931628,0.9921760012394454,1.0350281227376508,1.0968257009644249,1.0866284334440084,1.024280701754386,0.9284936479128856,0.3768674698795181,0.4665080756228872,0.5738500239578342,0.7225318748693653,0.7219453199442938,0.6808579668348954,0.5494665102508239,0.5750145942790427,0.2495825713604198,0.4003521547093232,0.503178403368282,0.5750234741784037,0.5778722013400882,0.5448766844647851,0.4761980576341347,0.4307985736794096,0.6338528946990375,0.6641815235008104,0.7184487783008294,0.7058504581684107,0.647204660964423,0.6639001279524155,0.5980392156862745
L0,0.8424492152642906,0.8759267121721807,0.8459423503325942,0.8550084684248729,0.8508088135898707,0.8126179062934901,0.8539436255495216,0.847817518967386,0.7044699235626454,0.4718686913016765,0.4101688484158604,0.3865118498488945,0.4957574928151088,0.41974025974025975,0.3619483964311551,0.5069418386491558,0.8196864111498258,0.4960655954506381,0.4577426601595786,0.4309739934287464,0.5426965574503417,0.6199818895261092,0.663578947368421,0.7475499092558984,0.5664792503346721,0.7002629272567923,0.8072891710589363,0.7189089388977914,0.7708715091988566,0.8067772170151406,0.8615719792190379,0.8396964389959136,0.7935914765047308,0.8631670048943536,0.8700569635928341,0.8166666666666667,0.7987688620144904,0.846236969234681,0.8685718834580479,0.9027282527572768,0.8443470765694584,0.8460651899873942,0.800941492938803,0.8431925391747547,0.856390231808603,0.8723242383373102,0.8492761590617556
L26665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
L46,0.03921054012912708,0.02736862732290408,0.045617147080561714,0.059883861601742076,0.027441085026810256,0.052574609556208435,0.022291181794672876,0.025815351266134597,0.08715520106347624,0.07873255507767928,0.08129387213052551,0.0771433115953555,0.0820446147529766,0.03051948051948052,0.01133349409211478,0.018386491557223262,0.09158785465405676,0.053230179197249226,0.05631729800914091,0.08208498078743666,0.0950373634795938,0.08753395713854513,0.05347368421052632,0.029038112522686024,0.07630522088353414,0.044405492258252986,0.0340201245807379,0.04476416080261966,0.04647071758410907,0.025234318673395817,0.02217753198145355,0.021949795680093403,0.04078874135326389,0.036558433806852086,0.068397589366796,0.08408450704225352,0.08568938279675327,0.05669972031528096,0.04362362681101736,0.02379965171241397,0.04995690274385864,0.062056546011165135,0.0608447817593749,0.035514829474597415,0.032942853601090866,0.0287028391603555,0.011636430273043796
L47,0.2499081413049184,0.3489010091773082,0.5018477457501848,0.5156665860150013,0.5264723110890821,0.5584969846915108,0.4728213085078872,0.4942851512464282,0.8434695912263208,0.9101202492758712,0.939954467842914,0.9580085891522188,0.9562063774462845,0.9215584415584416,0.9659995177236556,0.9230769230769232,0.850609756097561,0.9081531442174172,0.951274304748625,0.9686473241632788,0.9638500351280578,0.9239360096589194,0.9237894736842104,0.8684210526315791,0.3460776439089692,0.43725220149409455,0.5574688548155247,0.695708214310597,0.6737887561386792,0.6083633741888969,0.4838835819227976,0.500758902510216,0.22880390130131725,0.3882356452190522,0.489143894988855,0.5528169014084507,0.5472571770986545,0.4994279176201373,0.43894284349625856,0.3936478978356414,0.6135253555523632,0.6360886007563479,0.6813334614276108,0.6618500243995011,0.5942729639271105,0.6210879413493793,0.5579989004947774
L30,0.07527163928402708,0.07207942780626407,0.08357723577235772,0.10401040406484394,0.08538728427882666,0.115695067264574,0.08011378329454358,0.08562419942851512,0.21045197740112995,0.20064952163609234,0.21779548472775564,0.2290440591697153,0.2415491993978377,0.15454545454545454,0.08753315649867374,0.13658536585365855,0.20451717272274764,0.19870396085432784,0.16941668603300022,0.2376788995934733,0.3095101232675481,0.3379112586779354,0.2262456140350877,0.14283121597096188,0.14779116465863454,0.12883435582822084,0.08436152371825588,0.13073921828189228,0.14527596569669424,0.13907714491708725,0.12356851572537847,0.1342673671920607,0.08255810871697013,0.08526322072340932,0.13217204656154544,0.1763380281690141,0.18941003431933326,0.17003559623696926,0.14002547365069254,0.11311053984575835,0.11805056744720585,0.15209796506392942,0.1350113683671182,0.11833758065390665,0.13858931449113673,0.11571048172355362,0.11517317207256735
L28815,0.19180095533042885,0.2908978085502466,0.427760532150776,0.42780667795789984,0.4693371783895823,0.4652852945724447,0.4202741143004913,0.4330475908956548,0.6949983383183782,0.7519529535679803,0.7761335609941188,0.7895657706378241,0.7982071985767073,0.8372727272727273,0.9192187123221606,0.8446529080675422,0.7208810353409657,0.7268729749388348,0.8227593152064451,0.7973492231441778,0.7873155776968768,0.7487171747660729,0.7980350877192982,0.7856624319419238,0.22907630522088354,0.3376737197946663,0.4894885002395784,0.591792656587473,0.5766693542475995,0.5417808219178082,0.4258979945254455,0.4407472270869819,0.1670244626434497,0.3150889339859138,0.37100635680673655,0.3986854460093897,0.38846216702075503,0.3748410882278159,0.3361725839834421,0.31768803383365124,0.5158023272518316,0.5120835584368809,0.5834374099337112,0.5875128775145041,0.5086153464732862,0.5481896462288619,0.4828660436137072
L44,0.6677339772190436,0.7357523106567817,0.7167775314116778,0.7062061456569079,0.6536745820754292,0.6507499613421989,0.6704939229376777,0.6531185338456991,0.02193419740777667,0.031861669446151146,0.04335040789224056,0.044059169715285514,0.04762556452716573,0.07415584415584416,0.05305039787798409,0.0551594746716698,0.033474365355898456,0.01910996495404351,0.031373460376481525,0.03330177646600212,0.05269208660662962,0.04814367642619982,0.044491228070175436,0.036116152450090734,0.3245515394912985,0.5286089896081132,0.5148838045040728,0.4521006061450568,0.4602726673019131,0.5070295602018745,0.5431540137422489,0.5078225335668418,0.563541915136095,0.6327444192431658,0.6488896227193924,0.5923943661971831,0.552704690308874,0.5513602847698957,0.6028498646712307,0.650800232191724,0.4767633960637839,0.4629569602016928,0.4337272232363019,0.4244699886135661,0.4014503532911863,0.3888715980219248,0.4605094374198278
L26668,0.15944044932024565,0.0869721414807799,0.03228381374722838,0.03405516573917251,0.04064344613166314,0.03593629194371424,0.04178950090509439,0.04557099221598187,0.1242107012296444,0.0798736066005442,0.06440903054448871,0.05169397168760935,0.052141781853017655,0.06714285714285714,0.032071376898963104,0.058161350844277676,0.12686660029865604,0.09088805131257026,0.055697575335037566,0.04505206883109651,0.04662451299738137,0.06323573800181105,0.05614035087719298,0.0500907441016334,0.3486479250334672,0.17908267601519134,0.10739099185433636,0.04991987737755173,0.05211463754306238,0.059444844989185286,0.09044187475560024,0.10116754232340924,0.2407304338607511,0.12394055151008715,0.04367208783951127,0.03854460093896714,0.048537342703056055,0.06509026188660055,0.07562490049355199,0.06285761671780413,0.057822151989656664,0.054132901134521884,0.045377397764754863,0.059805888412948,0.09396305937771167,0.09402773455061036,0.08099688473520249
L132,0.03921054012912708,0.02736862732290408,0.045617147080561714,0.059883861601742076,0.027441085026810256,0.052574609556208435,0.022291181794672876,0.025815351266134597,0.08715520106347624,0.07873255507767928,0.08129387213052551,0.0771433115953555,0.0820446147529766,0.03051948051948052,0.01133349409211478,0.018386491557223262,0.09158785465405676,0.053230179197249226,0.05631729800914091,0.08208498078743666,0.0950373634795938,0.08753395713854513,0.05347368421052632,0.029038112522686024,0.07630522088353414,0.044405492258252986,0.0340201245807379,0.04476416080261966,0.04647071758410907,0.025234318673395817,0.02217753198145355,0.021949795680093403,0.04078874135326389,0.036558433806852086,0.068397589366796,0.08408450704225352,0.08568938279675327,0.05669972031528096,0.04362362681101736,0.02379965171241397,0.04995690274385864,0.062056546011165135,0.0608447817593749,0.035514829474597415,0.032942853601090866,0.0287028391603555,0.011636430273043796
L26677,0.2499081413049184,0.3489010091773082,0.5018477457501848,0.5156665860150013,0.5264723110890821,0.5584969846915108,0.4728213085078872,0.4942851512464282,0.8434695912263208,0.9101202492758712,0.939954467842914,0.9580085891522188,0.9562063774462845,0.9215584415584416,0.9659995177236556,0.9230769230769232,0.850609756097561,0.9081531442174172,0.951274304748625,0.9686473241632788,0.9638500351280578,0.9239360096589194,0.9237894736842104,0.8684210526315791,0.3460776439089692,0.43725220149409455,0.5574688548155247,0.695708214310597,0.6737887561386792,0.6083633741888969,0.4838835819227976,0.500758902510216,0.22880390130131725,0.3882356452190522,0.489143894988855,0.5528169014084507,0.5472571770986545,0.4994279176201373,0.43894284349625856,0.3936478978356414,0.6135253555523632,0.6360886007563479,0.6813334614276108,0.6618500243995011,0.5942729639271105,0.6210879413493793,0.5579989004947774
L134,0.05810718597448952,0.05800320062706162,0.07408721359940873,0.08785990805710138,0.05713513269949985,0.09321169011906602,0.05254719420739591,0.061237560350773476,0.14847125290794286,0.1581672957078908,0.1638209068487953,0.16844281851439474,0.15799917886957712,0.08428571428571427,0.046780805401495054,0.07842401500938086,0.12972872075659533,0.1812801692785823,0.12851498954217988,0.17129810101910115,0.17653445743118093,0.17521883489284634,0.12575438596491229,0.08275862068965517,0.11700133868808567,0.09957848169942823,0.06798035457594634,0.10391555772312408,0.09711940189107968,0.06658255227108867,0.0579855873973521,0.0600116754232341,0.06177943865786754,0.07314671123313836,0.1181375381821184,0.15413145539906106,0.15879501007789945,0.12458682939232138,0.10277025951281643,0.07595986400199023,0.09772302830053152,0.12400504231946695,0.09789605149389953,0.07433714688499701,0.08565761745382422,0.07289829512051735,0.07513285688107019
L26678,0.00894966143509527,0.013814951500702178,0.008721359940872137,0.012823614807645777,0.009777857883116298,0.011690119066027524,0.01148176881303336,0.01340033500837521,0.04569624459953473,0.031510576669885014,0.031493075317776516,0.03706060124065532,0.034145340084850144,0.029480519480519482,0.018567639257294433,0.022889305816135085,0.054566948730711794,0.03531045427494545,0.026803005654969403,0.026619145737038483,0.028294053777862937,0.028222155146393,0.02498245614035088,0.022686025408348458,0.020990629183400267,0.010809231668127374,0.016441063727839003,0.01250609628649063,0.013523418602946568,0.024441240086517664,0.026423104854477405,0.030297723292469356,0.010866396331928652,0.013131192551032591,0.006480640634029555,0.013615023474178405,0.01427248461077518,0.01983218916857361,0.01536379557395319,0.017497304917489014,0.013396063783939087,0.018620565460111645,0.016524161783072342,0.025809250121997505,0.03133134994421718,0.023584742538990903,0.03399303646692322
L26680,0.19180095533042885,0.2908978085502466,0.427760532150776,0.42780667795789984,0.4693371783895823,0.4652852945724447,0.4202741143004913,0.4330475908956548,0.6949983383183782,0.7519529535679803,0.7761335609941188,0.7895657706378241,0.7982071985767073,0.8372727272727273,0.9192187123221606,0.8446529080675422,0.7208810353409657,0.7268729749388348,0.8227593152064451,0.7973492231441778,0.7873155776968768,0.7487171747660729,0.7980350877192982,0.7856624319419238,0.22907630522088354,0.3376737197946663,0.4894885002395784,0.591792656587473,0.5766693542475995,0.5417808219178082,0.4258979945254455,0.4407472270869819,0.1670244626434497,0.3150889339859138,0.37100635680673655,0.3986854460093897,0.38846216702075503,0.3748410882278159,0.3361725839834421,0.31768803383365124,0.5158023272518316,0.5120835584368809,0.5834374099337112,0.5875128775145041,0.5086153464732862,0.5481896462288619,0.4828660436137072
L111,0.032596714083250225,0.027727881380841958,0.014308943089430894,0.019870554076941688,0.02973910692560717,0.0316066182155559,0.02622187742435997,0.023154990639471868,0.09230641409106016,0.048801895900991835,0.04477328780117625,0.05312549705742008,0.08786095524839195,0.04753246753246753,0.03110682421027248,0.04577861163227017,0.09102787456445993,0.025722409574819808,0.037803083120303664,0.06727181600490059,0.14185348406463566,0.2055538786598249,0.12449122807017544,0.07241379310344828,0.05349397590361446,0.05070739952422687,0.02105294681360805,0.02476834111335609,0.042732536832075056,0.048954578226387886,0.04759510641863583,0.052714535901926436,0.03299674008110042,0.01805538975766981,0.019772145628663414,0.027840375586854458,0.03551778613063137,0.04837274345283499,0.03948415857347557,0.03391657683058297,0.02546329550351961,0.026292094363407167,0.03227975790181574,0.036409477850675054,0.04493615966282385,0.04122142684234188,0.03151914971596115
L28816,0.06319878221615663,0.05682746007381038,0.0629120473022912,0.0701971933220421,0.09412877934483846,0.07375908458326891,0.0891130074993535,0.099812789437383,0.4202392821535394,0.3204599315369086,0.2763232783153102,0.25274375695880386,0.29471739427945803,0.25142857142857145,0.2411381721726549,0.3418386491557223,0.4706321553011448,0.4084507042253521,0.3353474320241692,0.2910285682463663,0.3001852206680718,0.2865982493208573,0.3907368421052632,0.4602540834845735,0.08856760374832665,0.08851884312007012,0.1664171058936272,0.15627394969692748,0.1634171369933299,0.15075702956020187,0.1587620803307078,0.16684179801517804,0.09122472237682544,0.1064223469022323,0.10637331792289276,0.10779342723004696,0.11657678269869805,0.13494787693872362,0.12314918006686833,0.11833485363628825,0.19487142651917827,0.20594273365748245,0.19777756428731547,0.22884021037792115,0.2379447130283873,0.2486426669433205,0.2123877588418545
L28817,0.09650412051860796,0.17378098566249714,0.2484552845528455,0.2460984756835229,0.21484251791105305,0.23797742384413176,0.17926040858546674,0.18479653167799784,0.021768029245596544,0.03115948389361889,0.04316069057104914,0.044059169715285514,0.047078144245244286,0.05935064935064935,0.05160356884494816,0.0551594746716698,0.03247884519661523,0.018283409376446468,0.03121852970795569,0.03319039928718605,0.05135083349300632,0.047841835194687585,0.043649122807017535,0.03575317604355717,0.09119143239625167,0.15967614039480826,0.17776712985146145,0.18971643558837872,0.17866305064868432,0.15529920692141316,0.09921233450645216,0.09013426736719206,0.05242373645013385,0.15273964426405634,0.1837695038388508,0.17338028169014086,0.1382578852753718,0.10316552250190694,0.1104123547205859,0.10357409403764822,0.1499425369918115,0.14536286691878264,0.14945399814263294,0.12400368703573172,0.07381926366679062,0.10149738907908842,0.08484515301447683
L26685,0.07891974174584011,0.055619060060746586,0.05194382852919438,0.05873457536898138,0.07326634524399585,0.056502242152466374,0.06811481768813034,0.07173120504483199,0.16999002991026918,0.07074519441762486,0.04572187440713337,0.03658342611738508,0.06555357876009306,0.046623376623376615,0.03665300217024355,0.06416510318949344,0.22455201592832252,0.04278251669642267,0.05321868463862422,0.03937183271147742,0.04796576611100466,0.07968608511922727,0.103859649122807,0.17876588021778586,0.0998661311914324,0.03242769500438212,0.10493531384762818,0.08576604194245105,0.10444916807153852,0.10003604902667627,0.1120607787274454,0.1123175715119673,0.10582809891071003,0.10594484899128566,0.09502187732188558,0.08863849765258218,0.09396960287628696,0.11155606407322656,0.10308868014647347,0.09967659009868148,0.1472489584829766,0.15087340176481182,0.13715694751336985,0.1534728623325923,0.17205900582620556,0.19358854652972304,0.14485981308411214
L26687,0.15172431893338933,0.07625983866226853,0.02583887657058389,0.022259859666102104,0.03284819537692065,0.028513994124014223,0.03289371605896044,0.03512661345945413,0.10676304420073114,0.07206179232862284,0.0505596660975147,0.035310959121997776,0.03346106473244834,0.05181818181818182,0.022908126356402214,0.051407129455909945,0.08878795420607268,0.07333201084440917,0.03981718181113952,0.025282619591245756,0.02465350961231398,0.04406881980078479,0.04196491228070176,0.039927404718693285,0.3322623828647925,0.16994282375526898,0.09580138955438428,0.03981745976450917,0.04101004177966723,0.03752703677000721,0.06714708675492989,0.07425569176882663,0.23124221462457925,0.11343559746926107,0.03896639973582102,0.0263849765258216,0.03611701258375551,0.04741927281973048,0.0616143926126413,0.04784808027199602,0.048735813819853466,0.0391139924365208,0.031222980113363438,0.037683674022664426,0.06597867856700136,0.07607981464190615,0.05442550852116548
L26688,0.5712298567004357,0.5619713249942846,0.4683222468588322,0.4601076699733849,0.43883206416437615,0.4127725374980671,0.49123351435221096,0.4683220021677013,0.00016616816218012627,0.0007021855525322566,0.0001897173211914248,0.0,0.0005474202819214452,0.014805194805194806,0.0014468290330359294,0.0,0.0009955201592832257,0.0008265555775970378,0.0001549306685258347,0.00011137717881606059,0.0013412531136232995,0.0003018412315122245,0.0008421052631578947,0.0003629764065335753,0.23336010709504684,0.36893284921330494,0.3371166746526114,0.2623841705566781,0.2816096166532288,0.3517303532804614,0.4439416792357969,0.4176882661996497,0.5111181786859611,0.4800047749791095,0.4651201188805416,0.4190140845070423,0.41444680503350223,0.4481947622679888,0.4924375099506448,0.5472261381540758,0.3268208590719724,0.31759409328291016,0.2842732250936689,0.3004663015778344,0.3276310896243957,0.2873742089428364,0.3756642844053509
L640,0.030995748254684794,0.027107351644403803,0.04366592756836659,0.056315025405274624,0.0249177668634254,0.049420132982835936,0.019756917507111456,0.02300719282687949,0.07419408441342637,0.07408057579215307,0.07825839499146273,0.07459837760458088,0.07506500615847816,0.027142857142857142,0.009404388714733545,0.016135084427767354,0.0704330512692882,0.04942802354030285,0.05197923929041754,0.06899816227654954,0.07300249089863957,0.06021732568668881,0.04014035087719298,0.021415607985480943,0.06447121820615796,0.034097074412587115,0.02931839961667465,0.04194245105552846,0.0418163160595177,0.02292718096611392,0.019105077928607345,0.018563922942206657,0.030929474437465212,0.03617046675420795,0.06393956905803681,0.0804225352112676,0.08160374788908863,0.051614543605390285,0.03836968635567585,0.020731403930674186,0.04464157448642436,0.05596974608319827,0.053255195824126564,0.031529577617524264,0.024916325771662327,0.02258187225507487,0.009162543522081729
L26706,0.05810718597448952,0.05800320062706162,0.07408721359940873,0.08785990805710138,0.05713513269949985,0.09321169011906602,0.05254719420739591,0.061237560350773476,0.14847125290794286,0.1581672957078908,0.1638209068487953,0.16844281851439474,0.15799917886957712,0.08428571428571427,0.046780805401495054,0.07842401500938086,0.12972872075659533,0.1812801692785823,0.12851498954217988,0.17129810101910115,0.17653445743118093,0.17521883489284634,0.12575438596491229,0.08275862068965517,0.11700133868808567,0.09957848169942823,0.06798035457594634,0.10391555772312408,0.09711940189107968,0.06658255227108867,0.0579855873973521,0.0600116754232341,0.06177943865786754,0.07314671123313836,0.1181375381821184,0.15413145539906106,0.15879501007789945,0.12458682939232138,0.10277025951281643,0.07595986400199023,0.09772302830053152,0.12400504231946695,0.09789605149389953,0.07433714688499701,0.08565761745382422,0.07289829512051735,0.07513285688107019
L26707,0.00894966143509527,0.013814951500702178,0.008721359940872137,0.012823614807645777,0.009777857883116298,0.011690119066027524,0.01148176881303336,0.01340033500837521,0.04569624459953473,0.031510576669885014,0.031493075317776516,0.03706060124065532,0.034145340084850144,0.029480519480519482,0.018567639257294433,0.022889305816135085,0.054566948730711794,0.03531045427494545,0.026803005654969403,0.026619145737038483,0.028294053777862937,0.028222155146393,0.02498245614035088,0.022686025408348458,0.020990629183400267,0.010809231668127374,0.016441063727839003,0.01250609628649063,0.013523418602946568,0.024441240086517664,0.026423104854477405,0.030297723292469356,0.010866396331928652,0.013131192551032591,0.006480640634029555,0.013615023474178405,0.01427248461077518,0.01983218916857361,0.01536379557395319,0.017497304917489014,0.013396063783939087,0.018620565460111645,0.016524161783072342,0.025809250121997505,0.03133134994421718,0.023584742538990903,0.03399303646692322
L26709,0.19180095533042885,0.2908978085502466,0.427760532150776,0.42780667795789984,0.4693371783895823,0.4652852945724447,0.4202741143004913,0.4330475908956548,0.6949983383183782,0.7519529535679803,0.7761335609941188,0.7895657706378241,0.7982071985767073,0.8372727272727273,0.9192187123221606,0.8446529080675422,0.7208810353409657,0.7268729749388348,0.8227593152064451,0.7973492231441778,0.7873155776968768,0.7487171747660729,0.7980350877192982,0.7856624319419238,0.22907630522088354,0.3376737197946663,0.4894885002395784,0.591792656587473,0.5766693542475995,0.5417808219178082,0.4258979945254455,0.4407472270869819,0.1670244626434497,0.3150889339859138,0.37100635680673655,0.3986854460093897,0.38846216702075503,0.3748410882278159,0.3361725839834421,0.31768803383365124,0.5158023272518316,0.5120835584368809,0.5834374099337112,0.5875128775145041,0.5086153464732862,0.5481896462288619,0.4828660436137072
L482,0.0275838538659388,0.020477481302459258,0.010258684405025871,0.012884103556738444,0.017573108637858784,0.02087521261790629,0.015567623480734418,0.013892994383683122,0.052675307411100034,0.027911875713157203,0.02656042496679947,0.03467472562430412,0.048994115231969344,0.026753246753246755,0.017361948396431154,0.025515947467166983,0.05612244897959184,0.015572307081928187,0.02215508559919436,0.04560895472517682,0.08456281535415469,0.1178690009055237,0.07017543859649122,0.04083484573502722,0.03866131191432396,0.03610032970243312,0.014404647819837087,0.01654706333170766,0.026643700065967897,0.02801009372746936,0.027093458466007487,0.029889083479276126,0.0264503988762556,0.013578846842545064,0.014323454140179971,0.018262910798122062,0.021953478237184725,0.027777777777777776,0.0224486546728228,0.01948751969483373,0.017418474357132598,0.016963803349540788,0.02177602715598681,0.021281787127907608,0.02717862898227346,0.02489884842826019,0.018141836173721827
